fecha_mes,train
2010-01-01,518
2010-02-01,373
2010-03-01,383
2010-04-01,408
2010-05-01,405
2010-06-01,417
2010-07-01,449
2010-08-01,483
2010-09-01,531
2010-10-01,509
2010-11-01,432
2010-12-01,434
2011-01-01,462
2011-02-01,419
2011-03-01,483
2011-04-01,476
2011-05-01,459
2011-06-01,500
2011-07-01,520
2011-08-01,498
2011-09-01,550
2011-10-01,568
2011-11-01,501
2011-12-01,518
2012-01-01,537
2012-02-01,589
2012-03-01,554
2012-04-01,470
2012-05-01,592
2012-06-01,485
2012-07-01,454
2012-08-01,501
2012-09-01,515
2012-10-01,509
2012-11-01,422
2012-12-01,577
2013-01-01,521
2013-02-01,510
2013-03-01,536
2013-04-01,566
2013-05-01,443
2013-06-01,508
2013-07-01,571
2013-08-01,556
2013-09-01,591
2013-10-01,502
2013-11-01,440
2013-12-01,460
2014-01-01,398
2014-02-01,356
2014-03-01,549
2014-04-01,434
2014-05-01,441
2014-06-01,351
2014-07-01,466
2014-08-01,499
2014-09-01,555
2014-10-01,520
2014-11-01,485
2014-12-01,459
